MEMID,HV106
011025002,"No education, preschool"
011025003,"No education, preschool"
011025004,Primary
011025005,Primary
011026001,Primary
011026002,Primary
011026003,Primary
011026004,"No education, preschool"
011026005,Primary
011026006,"No education, preschool"
011027001,Primary
011027002,Primary
011027003,Primary
011027004,Primary
011028001,Primary
011028002,Primary
011028003,Higher
011028004,Primary
011028005,Secondary
011028006,Primary
011028007,Primary
011028008,"No education, preschool"
011028009,"No education, preschool"
011028010,"No education, preschool"
012001001,Primary
012001002,Primary
012001003,"No education, preschool"
012003001,"No education, preschool"
012003002,Primary
012003003,Primary
012003004,"No education, preschool"
012003005,"No education, preschool"
012004001,Secondary
012004002,Primary
012004003,Secondary
012004004,Primary
012006001,Primary
012006002,Primary
012006003,"No education, preschool"
012006004,"No education, preschool"
012006005,Primary
012007001,Secondary
012007002,"No education, preschool"
012007003,Primary
012007004,"No education, preschool"
012008001,Secondary
012008002,Primary
012008003,Secondary
012008004,Primary
012008005,Primary
012008006,"No education, preschool"
012008007,"No education, preschool"
012009001,Primary
012009002,Primary
012009003,Primary
012009004,Primary
012009005,"No education, preschool"
012011001,"No education, preschool"
012011002,Primary
012011003,Primary
012011004,Primary
012012001,Primary
012012002,Primary
012012003,Secondary
012012004,"No education, preschool"
012013001,Primary
012013002,Secondary
012013003,Secondary
012014001,Secondary
012014002,Primary
012014003,Primary
012014004,Secondary
012014005,Primary
012014006,Secondary
012015001,Primary
012015002,"No education, preschool"
012015003,"No education, preschool"
012015004,Primary
012015005,"No education, preschool"
012015006,"No education, preschool"
012016001,Primary
012016002,Secondary
012017001,"No education, preschool"
012017002,"No education, preschool"
012017003,Secondary
012018001,"No education, preschool"
012018002,Primary
012018003,"No education, preschool"
012018004,Primary
012019001,Primary
012019002,Primary
012019003,"No education, preschool"
012020001,Primary
012020002,"No education, preschool"
012020003,Primary
012020004,Primary
012020005,Secondary
012020006,Primary
012020007,Primary
012020008,Primary
012020009,Primary
012020010,Primary
012020011,Secondary
012020012,Primary
012020013,Primary
012020014,Primary
012020015,Primary
012020016,"No education, preschool"
012020017,"No education, preschool"
012021001,Primary
012021002,Primary
012021003,Primary
012021004,Primary
012021005,"No education, preschool"
012021006,"No education, preschool"
012022001,Primary
012022002,Primary
012022003,Primary
012022004,Primary
012023001,Secondary
012023002,Primary
012023003,Secondary
012023004,Secondary
012023005,Secondary
012023006,Primary
012023007,"No education, preschool"
012024001,"No education, preschool"
012024002,Primary
012024003,Primary
012024004,Primary
012025001,Primary
012025002,Secondary
012025003,Primary
012025004,"No education, preschool"
012025005,"No education, preschool"
012025006,"No education, preschool"
012026001,"No education, preschool"
012026002,Primary
012026003,"No education, preschool"
012026004,"No education, preschool"
012026005,"No education, preschool"
012027001,Primary
012027002,Secondary
012027003,Primary
012027004,"No education, preschool"
012027005,"No education, preschool"
012027006,Primary
012028001,"No education, preschool"
012028002,"No education, preschool"
012028003,Secondary
012028004,Secondary
012028005,Secondary
012028006,Primary
013001001,Primary
013001002,"No education, preschool"
013001003,"No education, preschool"
013001004,"No education, preschool"
013001005,"No education, preschool"
013002001,Secondary
013002002,Primary
013002003,Secondary
013002004,Primary
